month,Papers_with_SE,Papers_with_RE,Total,BRE_Fraction,Unique_Reviewers,Papers_Per_Reviewer,Accept_Ratio
5,,4.0,4.0,1.0,4,1.0,0.75
6,,3.0,3.0,1.0,3,1.0,0.6666666666666666
7,1.0,21.0,22.0,0.9545454545454546,22,1.0,0.6818181818181818
8,,14.0,14.0,1.0,13,1.0769230769230769,0.6428571428571429
9,1.0,17.0,18.0,0.9444444444444444,18,1.0,0.6666666666666666
10,1.0,20.0,21.0,0.9523809523809523,19,1.105263157894737,0.6666666666666666
11,,17.0,17.0,1.0,16,1.0625,0.5882352941176471
12,1.0,20.0,21.0,0.9523809523809523,17,1.2352941176470589,0.8095238095238095
13,2.0,15.0,17.0,0.8823529411764706,17,1.0,0.6470588235294118
14,1.0,15.0,16.0,0.9375,16,1.0,0.6875
15,4.0,28.0,32.0,0.875,27,1.1851851851851851,0.65625
16,8.0,24.0,32.0,0.75,28,1.1428571428571428,0.625
17,7.0,27.0,34.0,0.7941176470588235,28,1.2142857142857142,0.6470588235294118
18,6.0,24.0,30.0,0.8,28,1.0714285714285714,0.5666666666666667
19,14.0,27.0,41.0,0.6585365853658537,38,1.0789473684210527,0.5853658536585366
20,11.0,35.0,46.0,0.7608695652173914,38,1.2105263157894737,0.6304347826086957
21,19.0,30.0,49.0,0.6122448979591837,43,1.1395348837209303,0.6530612244897959
22,11.0,34.0,45.0,0.7555555555555555,39,1.1538461538461537,0.6222222222222222
23,13.0,32.0,45.0,0.7111111111111111,40,1.125,0.6
24,21.0,22.0,43.0,0.5116279069767442,40,1.075,0.6744186046511628
25,32.0,34.0,66.0,0.5151515151515151,56,1.1785714285714286,0.696969696969697
26,21.0,34.0,55.0,0.6181818181818182,41,1.3414634146341464,0.5454545454545454
27,21.0,41.0,62.0,0.6612903225806451,47,1.3191489361702127,0.6451612903225806
28,21.0,41.0,62.0,0.6612903225806451,51,1.2156862745098038,0.6612903225806451
29,28.0,49.0,77.0,0.6363636363636364,61,1.2622950819672132,0.5714285714285714
30,50.0,50.0,100.0,0.5,77,1.2987012987012987,0.6
31,46.0,52.0,98.0,0.5306122448979592,74,1.3243243243243243,0.6020408163265306
32,42.0,28.0,70.0,0.4,62,1.1290322580645162,0.6
33,71.0,20.0,91.0,0.21978021978021978,75,1.2133333333333334,0.6043956043956044
34,67.0,29.0,96.0,0.3020833333333333,74,1.2972972972972974,0.5416666666666666
35,40.0,46.0,86.0,0.5348837209302325,71,1.2112676056338028,0.5581395348837209
36,47.0,45.0,92.0,0.4891304347826087,75,1.2266666666666666,0.5217391304347826
37,48.0,51.0,99.0,0.5151515151515151,76,1.3026315789473684,0.6060606060606061
38,36.0,61.0,97.0,0.6288659793814433,77,1.2597402597402598,0.5567010309278351
39,54.0,79.0,133.0,0.5939849624060151,97,1.3711340206185567,0.48872180451127817
40,38.0,73.0,111.0,0.6576576576576577,90,1.2333333333333334,0.5765765765765766
41,57.0,64.0,121.0,0.5289256198347108,88,1.375,0.5289256198347108
42,69.0,92.0,161.0,0.5714285714285714,113,1.424778761061947,0.422360248447205
43,67.0,71.0,138.0,0.5144927536231884,101,1.3663366336633664,0.34782608695652173
44,82.0,71.0,153.0,0.46405228758169936,114,1.3421052631578947,0.1895424836601307
45,87.0,71.0,158.0,0.44936708860759494,119,1.3277310924369747,0.08860759493670886
46,27.0,42.0,69.0,0.6086956521739131,59,1.1694915254237288,0.043478260869565216
47,1.0,1.0,2.0,0.5,2,1.0,
